"RowNumber","dayof-on","dayof-noton","daybef-on","daybef-noton","gender","HS","type-of-job","num-yrs-driving","cell-tel-exp","type-of-cell","Location"
"210","0","1","0","1","m","no","nonprof","11","1","handsfree","highspeed"
"211","1","0","0","1","f","no","nonprof","22","2-3","handsfree","highspeed"
"212","0","1","0","1","m","yes","prof","3","2-3","handsfree","highspeed"
"213","0","1","0","1","f","yes","nonprof","2","1","handsfree","highspeed"
"214","0","1","0","1","m","yes","nonprof","1","1","handsfree","highspeed"
"215","1","0","0","1","f","yes","prof","4","1","handsfree","highspeed"
"216","0","1","1","0","m","yes","prof","45",">6","handsfree","highspeed"
"217","1","0","0","1","m","yes","nonprof","3","1","handsfree","highspeed"
"218","1","0","0","1","m","yes","nonprof","10","1","handsfree","highspeed"
"219","0","1","1","0","m","yes","nonprof","18","2-3","handheld","highspeed"
"220","0","1","0","1","m","yes","prof","21","2-3","handsfree","highspeed"
"221","1","0","0","1","f","yes","nonprof","11","2-3","handsfree","highspeed"
"222","0","1","0","1","m","yes","nonprof","6","4-5","handsfree","highspeed"
"223","0","1","0","1","m","yes","nonprof","6","1","handsfree","highspeed"
"224","0","1","0","1","f","yes","prof","18","2-3","handsfree","highspeed"
"225","0","1","0","1","m","no","nonprof","24","1","handsfree","highspeed"
"226","0","1","0","1","f","yes","nonprof","10","1","handsfree","highspeed"
"227","0","1","0","1","f","yes","nonprof","26","4-5","handsfree","highspeed"
"228","0","1","0","1","f","yes","nonprof","7","1","handsfree","highspeed"
"229","0","1","0","1","m","yes","nonprof","17","2-3","handheld","highspeed"
"230","0","1","0","1","m","yes","nonprof","32","1","handsfree","highspeed"
"231","0","1","0","1","m","no","nonprof","12","2-3","handsfree","highspeed"
"232","1","0","0","1","f","yes","nonprof","21","4-5","handsfree","lowspeed"
"233","0","1","0","1","f","no","nonprof","27","4-5","handsfree","highspeed"
"234","1","0","0","1","m","yes","nonprof","30",">6","handheld","highspeed"
"235","0","1","0","1","m","yes","nonprof","3","2-3","handsfree","highspeed"
"236","0","1","0","1","f","yes","prof","29","1","handsfree","highspeed"
"237","0","1","0","1","f","yes","nonprof","15","1","handheld","highspeed"
"238","0","1","0","1","m","yes","nonprof","10",">6","handsfree","lowspeed"
"239","0","1","0","1","f","yes","nonprof","20","4-5","handsfree","highspeed"
"240","1","0","1","0","m","no","nonprof","9","2-3","handsfree","highspeed"
"241","0","1","0","1","m","yes","nonprof","28","4-5","handsfree","highspeed"
"242","0","1","0","1","m","yes","nonprof","38",">6","handheld","lowspeed"
"243","0","1","0","1","m","no","nonprof","7","2-3","handsfree","highspeed"
"244","0","1","0","1","m","no","nonprof","13","1","handsfree","highspeed"
